{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 15490, 'thing_id': '1-new', 'counter': 55}}
{'water-level': {'capacity': 1000.0, 'volume': 738.213, 'timer': 16191, 'thing_id': '1-new', 'counter': 56}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 16336, 'thing_id': '1-new', 'counter': 57}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 18475, 'thing_id': '1-new', 'counter': 58}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 13730, 'thing_id': '1-new', 'counter': 59}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 15279, 'thing_id': '1-new', 'counter': 60}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 16897, 'thing_id': '1-new', 'counter': 61}}
{'water-level': {'capacity': 1000.0, 'volume': 738.213, 'timer': 13812, 'thing_id': '1-new', 'counter': 62}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 16591, 'thing_id': '1-new', 'counter': 63}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 14504, 'thing_id': '1-new', 'counter': 64}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 13607, 'thing_id': '1-new', 'counter': 65}}
{'water-level': {'capacity': 1000.0, 'volume': 738.213, 'timer': 16458, 'thing_id': '1-new', 'counter': 66}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 13900, 'thing_id': '1-new', 'counter': 67}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 16504, 'thing_id': '1-new', 'counter': 68}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 14443, 'thing_id': '1-new', 'counter': 69}}
{'water-level': {'capacity': 1000.0, 'volume': 721.375, 'timer': 15160, 'thing_id': '1-new', 'counter': 70}}
{'water-level': {'capacity': 1000.0, 'volume': 721.375, 'timer': 16799, 'thing_id': '1-new', 'counter': 71}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13776, 'thing_id': '1-new', 'counter': 72}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 14016, 'thing_id': '1-new', 'counter': 73}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 15236, 'thing_id': '1-new', 'counter': 74}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 15691, 'thing_id': '1-new', 'counter': 75}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 18321, 'thing_id': '1-new', 'counter': 76}}
{'water-level': {'capacity': 1000.0, 'volume': 721.375, 'timer': 14991, 'thing_id': '1-new', 'counter': 77}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 14458, 'thing_id': '1-new', 'counter': 78}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 19210, 'thing_id': '1-new', 'counter': 79}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13734, 'thing_id': '1-new', 'counter': 80}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 17115, 'thing_id': '1-new', 'counter': 81}}
{'water-level': {'capacity': 1000.0, 'volume': 726.873, 'timer': 13905, 'thing_id': '1-new', 'counter': 82}}
{'water-level': {'capacity': 1000.0, 'volume': 721.375, 'timer': 13894, 'thing_id': '1-new', 'counter': 83}}
{'water-level': {'capacity': 1000.0, 'volume': 726.701, 'timer': 16634, 'thing_id': '1-new', 'counter': 84}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 13845, 'thing_id': '1-new', 'counter': 85}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 16394, 'thing_id': '1-new', 'counter': 86}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 14380, 'thing_id': '1-new', 'counter': 87}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 13832, 'thing_id': '1-new', 'counter': 88}}
{'water-level': {'capacity': 1000.0, 'volume': 738.384, 'timer': 16619, 'thing_id': '1-new', 'counter': 89}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 13714, 'thing_id': '1-new', 'counter': 90}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 13711, 'thing_id': '1-new', 'counter': 91}}
