{'water-level': {'capacity': 1000.0, 'volume': 724.467, 'timer': 0, 'thing_id': '1-new', 'counter': 1}}
{'water-level': {'capacity': 1000.0, 'volume': 724.295, 'timer': 186131, 'thing_id': '1-new', 'counter': 2}}
{'water-level': {'capacity': 1000.0, 'volume': 828.763, 'timer': 14980, 'thing_id': '1-new', 'counter': 3}}
{'water-level': {'capacity': 1000.0, 'volume': 841.821, 'timer': 18278, 'thing_id': '1-new', 'counter': 4}}
{'water-level': {'capacity': 1000.0, 'volume': 841.649, 'timer': 13729, 'thing_id': '1-new', 'counter': 5}}
{'water-level': {'capacity': 1000.0, 'volume': 828.934, 'timer': 15135, 'thing_id': '1-new', 'counter': 6}}
{'water-level': {'capacity': 1000.0, 'volume': 841.477, 'timer': 17733, 'thing_id': '1-new', 'counter': 7}}
{'water-level': {'capacity': 1000.0, 'volume': 854.536, 'timer': 17063, 'thing_id': '1-new', 'counter': 8}}
{'water-level': {'capacity': 1000.0, 'volume': 854.536, 'timer': 18374, 'thing_id': '1-new', 'counter': 9}}
{'water-level': {'capacity': 1000.0, 'volume': 841.993, 'timer': 14423, 'thing_id': '1-new', 'counter': 10}}
{'water-level': {'capacity': 1000.0, 'volume': 841.649, 'timer': 13682, 'thing_id': '1-new', 'counter': 11}}
{'water-level': {'capacity': 1000.0, 'volume': 841.821, 'timer': 18029, 'thing_id': '1-new', 'counter': 12}}
{'water-level': {'capacity': 1000.0, 'volume': 841.821, 'timer': 13591, 'thing_id': '1-new', 'counter': 13}}
{'water-level': {'capacity': 1000.0, 'volume': 841.993, 'timer': 16517, 'thing_id': '1-new', 'counter': 14}}
{'water-level': {'capacity': 1000.0, 'volume': 841.649, 'timer': 15015, 'thing_id': '1-new', 'counter': 15}}
{'water-level': {'capacity': 1000.0, 'volume': 841.993, 'timer': 13773, 'thing_id': '1-new', 'counter': 16}}
{'water-level': {'capacity': 1000.0, 'volume': 841.821, 'timer': 16642, 'thing_id': '1-new', 'counter': 17}}
{'water-level': {'capacity': 1000.0, 'volume': 841.821, 'timer': 13719, 'thing_id': '1-new', 'counter': 18}}
{'water-level': {'capacity': 1000.0, 'volume': 828.763, 'timer': 13747, 'thing_id': '1-new', 'counter': 19}}
{'water-level': {'capacity': 1000.0, 'volume': 841.821, 'timer': 15092, 'thing_id': '1-new', 'counter': 20}}
{'water-level': {'capacity': 1000.0, 'volume': 829.106, 'timer': 16560, 'thing_id': '1-new', 'counter': 21}}
{'water-level': {'capacity': 1000.0, 'volume': 790.962, 'timer': 17583, 'thing_id': '1-new', 'counter': 22}}
{'water-level': {'capacity': 1000.0, 'volume': 841.993, 'timer': 14393, 'thing_id': '1-new', 'counter': 23}}
{'water-level': {'capacity': 1000.0, 'volume': 828.934, 'timer': 13770, 'thing_id': '1-new', 'counter': 24}}
{'water-level': {'capacity': 1000.0, 'volume': 828.934, 'timer': 14150, 'thing_id': '1-new', 'counter': 25}}
{'water-level': {'capacity': 1000.0, 'volume': 841.821, 'timer': 13818, 'thing_id': '1-new', 'counter': 26}}
{'water-level': {'capacity': 1000.0, 'volume': 790.962, 'timer': 18139, 'thing_id': '1-new', 'counter': 27}}
{'water-level': {'capacity': 1000.0, 'volume': 791.134, 'timer': 14576, 'thing_id': '1-new', 'counter': 28}}
{'water-level': {'capacity': 1000.0, 'volume': 841.821, 'timer': 13987, 'thing_id': '1-new', 'counter': 29}}
{'water-level': {'capacity': 1000.0, 'volume': 854.708, 'timer': 14132, 'thing_id': '1-new', 'counter': 30}}
{'water-level': {'capacity': 1000.0, 'volume': 854.708, 'timer': 13856, 'thing_id': '1-new', 'counter': 31}}
{'water-level': {'capacity': 1000.0, 'volume': 841.649, 'timer': 17563, 'thing_id': '1-new', 'counter': 32}}
{'water-level': {'capacity': 1000.0, 'volume': 841.649, 'timer': 16764, 'thing_id': '1-new', 'counter': 33}}
{'water-level': {'capacity': 1000.0, 'volume': 841.821, 'timer': 16983, 'thing_id': '1-new', 'counter': 34}}
