{'water-level': {'capacity': 1000.0, 'volume': 645.257, 'timer': 0, 'thing_id': '1-new', 'counter': 1}}
{'water-level': {'capacity': 1000.0, 'volume': 809.862, 'timer': 303457, 'thing_id': '1-new', 'counter': 2}}
{'water-level': {'capacity': 1000.0, 'volume': 819.484, 'timer': 14854, 'thing_id': '1-new', 'counter': 3}}
{'water-level': {'capacity': 1000.0, 'volume': 915.189, 'timer': 17696, 'thing_id': '1-new', 'counter': 4}}
{'water-level': {'capacity': 1000.0, 'volume': 906.082, 'timer': 13809, 'thing_id': '1-new', 'counter': 5}}
{'water-level': {'capacity': 1000.0, 'volume': 909.003, 'timer': 15458, 'thing_id': '1-new', 'counter': 6}}
{'water-level': {'capacity': 1000.0, 'volume': 909.003, 'timer': 14063, 'thing_id': '1-new', 'counter': 7}}
{'water-level': {'capacity': 1000.0, 'volume': 747.319, 'timer': 14780, 'thing_id': '1-new', 'counter': 8}}
{'water-level': {'capacity': 1000.0, 'volume': 738.556, 'timer': 18755, 'thing_id': '1-new', 'counter': 9}}
{'water-level': {'capacity': 1000.0, 'volume': 755.739, 'timer': 14368, 'thing_id': '1-new', 'counter': 10}}
{'water-level': {'capacity': 1000.0, 'volume': 716.391, 'timer': 14332, 'thing_id': '1-new', 'counter': 11}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 19854, 'thing_id': '1-new', 'counter': 12}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13752, 'thing_id': '1-new', 'counter': 13}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 16943, 'thing_id': '1-new', 'counter': 14}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 15515, 'thing_id': '1-new', 'counter': 15}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13901, 'thing_id': '1-new', 'counter': 16}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 16482, 'thing_id': '1-new', 'counter': 17}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 17021, 'thing_id': '1-new', 'counter': 18}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13772, 'thing_id': '1-new', 'counter': 19}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 14225, 'thing_id': '1-new', 'counter': 20}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 15157, 'thing_id': '1-new', 'counter': 21}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 17103, 'thing_id': '1-new', 'counter': 22}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13788, 'thing_id': '1-new', 'counter': 23}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 16976, 'thing_id': '1-new', 'counter': 24}}
{'water-level': {'capacity': 1000.0, 'volume': 721.89, 'timer': 14055, 'thing_id': '1-new', 'counter': 25}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13749, 'thing_id': '1-new', 'counter': 26}}
{'water-level': {'capacity': 1000.0, 'volume': 721.89, 'timer': 17729, 'thing_id': '1-new', 'counter': 27}}
{'water-level': {'capacity': 1000.0, 'volume': 722.062, 'timer': 14931, 'thing_id': '1-new', 'counter': 28}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 14014, 'thing_id': '1-new', 'counter': 29}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 16543, 'thing_id': '1-new', 'counter': 30}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 16466, 'thing_id': '1-new', 'counter': 31}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 16842, 'thing_id': '1-new', 'counter': 32}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13789, 'thing_id': '1-new', 'counter': 33}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 17101, 'thing_id': '1-new', 'counter': 34}}
{'water-level': {'capacity': 1000.0, 'volume': 721.89, 'timer': 17007, 'thing_id': '1-new', 'counter': 35}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13709, 'thing_id': '1-new', 'counter': 36}}
{'water-level': {'capacity': 1000.0, 'volume': 721.89, 'timer': 16336, 'thing_id': '1-new', 'counter': 37}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 14103, 'thing_id': '1-new', 'counter': 38}}
{'water-level': {'capacity': 1000.0, 'volume': 721.89, 'timer': 14566, 'thing_id': '1-new', 'counter': 39}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 19633, 'thing_id': '1-new', 'counter': 40}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 15215, 'thing_id': '1-new', 'counter': 41}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 16278, 'thing_id': '1-new', 'counter': 42}}
{'water-level': {'capacity': 1000.0, 'volume': 721.89, 'timer': 18777, 'thing_id': '1-new', 'counter': 43}}
{'water-level': {'capacity': 1000.0, 'volume': 721.89, 'timer': 14753, 'thing_id': '1-new', 'counter': 44}}
{'water-level': {'capacity': 1000.0, 'volume': 721.89, 'timer': 17409, 'thing_id': '1-new', 'counter': 45}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13744, 'thing_id': '1-new', 'counter': 46}}
{'water-level': {'capacity': 1000.0, 'volume': 716.563, 'timer': 15005, 'thing_id': '1-new', 'counter': 47}}
{'water-level': {'capacity': 1000.0, 'volume': 716.563, 'timer': 17656, 'thing_id': '1-new', 'counter': 48}}
{'water-level': {'capacity': 1000.0, 'volume': 716.391, 'timer': 16203, 'thing_id': '1-new', 'counter': 49}}
{'water-level': {'capacity': 1000.0, 'volume': 716.391, 'timer': 17019, 'thing_id': '1-new', 'counter': 50}}
{'water-level': {'capacity': 1000.0, 'volume': 716.391, 'timer': 16465, 'thing_id': '1-new', 'counter': 51}}
{'water-level': {'capacity': 1000.0, 'volume': 716.22, 'timer': 13718, 'thing_id': '1-new', 'counter': 52}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 18111, 'thing_id': '1-new', 'counter': 53}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 14154, 'thing_id': '1-new', 'counter': 54}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 14157, 'thing_id': '1-new', 'counter': 55}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 16711, 'thing_id': '1-new', 'counter': 56}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 14938, 'thing_id': '1-new', 'counter': 57}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 17687, 'thing_id': '1-new', 'counter': 58}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 16442, 'thing_id': '1-new', 'counter': 59}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 13951, 'thing_id': '1-new', 'counter': 60}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 16731, 'thing_id': '1-new', 'counter': 61}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 15159, 'thing_id': '1-new', 'counter': 62}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 17948, 'thing_id': '1-new', 'counter': 63}}
{'water-level': {'capacity': 1000.0, 'volume': 721.718, 'timer': 15248, 'thing_id': '1-new', 'counter': 64}}
{'water-level': {'capacity': 1000.0, 'volume': 721.546, 'timer': 15612, 'thing_id': '1-new', 'counter': 65}}
