{'water-level': {'capacity': 1000.0, 'volume': 645.086, 'timer': 15037, 'thing_id': '1-new', 'counter': 677}}
{'water-level': {'capacity': 1000.0, 'volume': 644.914, 'timer': 17532, 'thing_id': '1-new', 'counter': 678}}
{'water-level': {'capacity': 1000.0, 'volume': 644.914, 'timer': 14578, 'thing_id': '1-new', 'counter': 679}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 0, 'thing_id': '1-new', 'counter': 1}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 85053, 'thing_id': '1-new', 'counter': 2}}
{'water-level': {'capacity': 1000.0, 'volume': 656.254, 'timer': 15197, 'thing_id': '1-new', 'counter': 3}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 17339, 'thing_id': '1-new', 'counter': 4}}
{'water-level': {'capacity': 1000.0, 'volume': 656.254, 'timer': 13744, 'thing_id': '1-new', 'counter': 5}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 14932, 'thing_id': '1-new', 'counter': 6}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 14585, 'thing_id': '1-new', 'counter': 7}}
{'water-level': {'capacity': 1000.0, 'volume': 656.426, 'timer': 16094, 'thing_id': '1-new', 'counter': 8}}
{'water-level': {'capacity': 1000.0, 'volume': 656.426, 'timer': 17612, 'thing_id': '1-new', 'counter': 9}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 13532, 'thing_id': '1-new', 'counter': 10}}
{'water-level': {'capacity': 1000.0, 'volume': 656.426, 'timer': 15426, 'thing_id': '1-new', 'counter': 11}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 17255, 'thing_id': '1-new', 'counter': 12}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 14124, 'thing_id': '1-new', 'counter': 13}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 16548, 'thing_id': '1-new', 'counter': 14}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 15779, 'thing_id': '1-new', 'counter': 15}}
{'water-level': {'capacity': 1000.0, 'volume': 656.426, 'timer': 14231, 'thing_id': '1-new', 'counter': 16}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 16622, 'thing_id': '1-new', 'counter': 17}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 13727, 'thing_id': '1-new', 'counter': 18}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 15049, 'thing_id': '1-new', 'counter': 19}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 15730, 'thing_id': '1-new', 'counter': 20}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 13985, 'thing_id': '1-new', 'counter': 21}}
{'water-level': {'capacity': 1000.0, 'volume': 656.254, 'timer': 17148, 'thing_id': '1-new', 'counter': 22}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 14910, 'thing_id': '1-new', 'counter': 23}}
{'water-level': {'capacity': 1000.0, 'volume': 656.254, 'timer': 13735, 'thing_id': '1-new', 'counter': 24}}
{'water-level': {'capacity': 1000.0, 'volume': 656.426, 'timer': 15883, 'thing_id': '1-new', 'counter': 25}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 15406, 'thing_id': '1-new', 'counter': 26}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 17817, 'thing_id': '1-new', 'counter': 27}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 14334, 'thing_id': '1-new', 'counter': 28}}
{'water-level': {'capacity': 1000.0, 'volume': 656.426, 'timer': 14668, 'thing_id': '1-new', 'counter': 29}}
{'water-level': {'capacity': 1000.0, 'volume': 656.426, 'timer': 16733, 'thing_id': '1-new', 'counter': 30}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 14769, 'thing_id': '1-new', 'counter': 31}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 19342, 'thing_id': '1-new', 'counter': 32}}
{'water-level': {'capacity': 1000.0, 'volume': 656.941, 'timer': 14279, 'thing_id': '1-new', 'counter': 33}}
{'water-level': {'capacity': 1000.0, 'volume': 656.426, 'timer': 15474, 'thing_id': '1-new', 'counter': 34}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 16405, 'thing_id': '1-new', 'counter': 35}}
{'water-level': {'capacity': 1000.0, 'volume': 656.769, 'timer': 14454, 'thing_id': '1-new', 'counter': 36}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 16827, 'thing_id': '1-new', 'counter': 37}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 16558, 'thing_id': '1-new', 'counter': 38}}
{'water-level': {'capacity': 1000.0, 'volume': 656.598, 'timer': 14319, 'thing_id': '1-new', 'counter': 39}}
